round_epochs,val_loss,loss,dropout1,dropout2,epochs,units1,units2,lr
7,0.21117443138477848,0.17405111897114167,0.0,0.0,7,38,13,2.75
6,0.23259875804900085,0.21333173505899286,0.0,0.0,6,20,10,4.55
1,0.32609315424313473,0.6001007409712402,0.0,0.0,1,40,23,1.4
5,0.2161429514682371,0.18140909170347547,0.0,0.0,5,42,20,2.3
16,0.20919627431690824,0.1501382834840667,0.0,0.0,16,25,20,3.6499999999999995
17,0.2059319432914127,0.12980249975603614,0.0,0.0,17,49,13,4.1
12,0.2080994474991734,0.15152931931306,0.0,0.0,12,37,20,0.95
19,0.2076687208967271,0.11941743902966422,0.0,0.0,19,38,23,0.95
9,0.2130478575403654,0.16735032968132657,0.0,0.0,9,41,10,3.1999999999999997
19,0.21080278434784583,0.13723977942482318,0.0,0.0,19,32,17,1.8499999999999999
3,0.24611642434056807,0.24654721429034107,0.0,0.0,3,47,11,1.8499999999999999
16,0.21037384445630908,0.12822722098907502,0.0,0.0,16,44,14,4.55
7,0.2138405481195138,0.17697214801994915,0.0,0.0,7,44,19,0.95
2,0.2850535372698229,0.30896335436739064,0.0,0.0,2,42,14,1.4
16,0.2135269596426056,0.14248366644875565,0.0,0.0,16,31,21,4.55
14,0.20713881300944909,0.1309353023572685,0.0,0.0,14,49,24,2.75
18,0.2065923390565095,0.13426004557493798,0.0,0.0,18,31,24,4.1
6,0.21826317584982105,0.188978101971214,0.0,0.0,6,40,11,4.1
14,0.2112555439565696,0.1444142524963445,0.0,0.0,14,36,16,0.5
17,0.20595270460207737,0.14133456256153648,0.0,0.0,17,32,24,4.55
14,0.20993260620466245,0.16028912884403232,0.0,0.0,14,34,19,2.75
16,0.21169397377760063,0.1401377808090463,0.0,0.0,16,34,18,0.95
10,0.21452718590079828,0.15372175609920763,0.0,0.0,10,39,17,1.4
3,0.24486796489728044,0.2478501429689142,0.0,0.0,3,35,20,3.1999999999999997
19,0.20835876062285147,0.1337849051455935,0.0,0.0,19,37,17,2.75
19,0.21363918307949514,0.13323093572306255,0.0,0.0,19,41,11,0.5
17,0.20809261757304207,0.14975344104454075,0.0,0.0,17,24,17,3.6499999999999995
1,0.4278636589029516,0.8197737214278106,0.0,0.0,1,47,14,0.5
11,0.21153166559007433,0.16263611318350507,0.0,0.0,11,39,15,2.3
9,0.2078113629277755,0.16365568842095377,0.0,0.0,9,36,16,1.4
16,0.20887545283583514,0.14178136931636642,0.0,0.0,16,40,21,0.95
12,0.21000902357963694,0.15048392601902522,0.0,0.0,12,48,24,3.1999999999999997
11,0.2092719172535379,0.14523646772519994,0.0,0.0,11,41,21,1.4
1,0.39524963816266695,0.7433205804014518,0.0,0.0,1,45,11,1.8499999999999999
4,0.23784697656408116,0.22962537119869425,0.0,0.0,4,24,23,2.75
10,0.2093419015797135,0.16762343124181284,0.0,0.0,10,27,24,0.5
16,0.21056853841852258,0.1331196049529186,0.0,0.0,16,38,18,0.95
13,0.20884520328382522,0.1503277532443279,0.0,0.0,13,28,24,2.75
3,0.2609698111779809,0.26947356208143225,0.0,0.0,3,45,21,2.75
